datestamp,country_code,marketing_channel,conversions
2014-11-18,fr,Search Engine Ads,621
2014-11-18,fr,Search Engine Results,851
2014-11-18,gb,Display Ads,350
2014-11-18,gb,KAYAK Deals Email,13
2014-11-18,gb,Search Engine Ads,157
2014-11-18,gb,Search Engine Results,617
2014-11-18,gb,Travel Search Site,349
2014-11-18,it,Display Ads,206
2014-11-18,it,KAYAK Deals Email,10
2014-11-18,it,Search Engine Ads,524
2014-11-18,it,Search Engine Results,711
2014-11-18,us,Display Ads,13770
2014-11-18,us,KAYAK Deals Email,744
2014-11-18,us,Search Engine Ads,2814
2014-11-18,us,Search Engine Results,10389
2014-11-19,de,Display Ads,1344
2014-11-19,de,KAYAK Deals Email,3
2014-11-19,de,Search Engine Ads,1424
2014-11-19,de,Search Engine Results,1272
2014-11-19,es,Display Ads,456
2014-11-19,es,KAYAK Deals Email,3
2014-11-19,es,Search Engine Ads,1249
2014-11-19,es,Search Engine Results,1342
2014-11-19,fr,Display Ads,301
2014-11-19,fr,KAYAK Deals Email,10
2014-11-19,fr,Search Engine Ads,611
2014-11-19,fr,Search Engine Results,925
2014-11-19,gb,Display Ads,248
2014-11-19,gb,KAYAK Deals Email,3
2014-11-19,gb,Search Engine Ads,115
2014-11-19,gb,Search Engine Results,535
2014-11-19,gb,Travel Search Site,330
2014-11-19,it,Display Ads,238
2014-11-19,it,KAYAK Deals Email,17
2014-11-19,it,Search Engine Ads,517
2014-11-19,it,Search Engine Results,702
2014-11-19,us,Display Ads,13629
2014-11-19,us,KAYAK Deals Email,1159
2014-11-19,us,Search Engine Ads,2570
2014-11-19,us,Search Engine Results,10100
2014-11-19,us,Travel Search Site,8
2014-11-20,de,Display Ads,1093
2014-11-20,de,KAYAK Deals Email,10
2014-11-20,de,Search Engine Ads,1391
2014-11-20,de,Search Engine Results,1132
2014-11-20,es,Display Ads,412
2014-11-20,es,Search Engine Ads,1216
2014-11-20,es,Search Engine Results,1342
2014-11-20,fr,Display Ads,223
2014-11-20,fr,KAYAK Deals Email,3
2014-11-20,fr,Search Engine Ads,535
2014-11-20,fr,Search Engine Results,709
2014-11-20,gb,Display Ads,276
2014-11-20,gb,KAYAK Deals Email,6
2014-11-20,gb,Search Engine Ads,145
2014-11-20,gb,Search Engine Results,467
2014-11-20,gb,Travel Search Site,272
2014-11-20,it,Display Ads,192
2014-11-20,it,Search Engine Ads,472
2014-11-20,it,Search Engine Results,587
2014-11-20,us,Display Ads,12132
2014-11-20,us,KAYAK Deals Email,1241
2014-11-20,us,Search Engine Ads,2636
2014-11-20,us,Search Engine Results,9073
2014-11-21,de,Display Ads,1004
2014-11-21,de,KAYAK Deals Email,37
2014-11-21,de,Search Engine Ads,1013
2014-11-21,de,Search Engine Results,939
2014-11-21,es,Display Ads,335
2014-11-21,es,Search Engine Ads,1164
2014-11-21,es,Search Engine Results,971
2014-11-21,fr,Display Ads,212
2014-11-21,fr,KAYAK Deals Email,6
2014-11-21,fr,Search Engine Ads,575
2014-11-21,fr,Search Engine Results,665
2014-11-21,gb,Display Ads,217
2014-11-21,gb,KAYAK Deals Email,13
2014-11-21,gb,Search Engine Ads,105
2014-11-21,gb,Search Engine Results,458
2014-11-21,gb,Travel Search Site,217
2014-11-21,it,Display Ads,182
2014-11-21,it,KAYAK Deals Email,20
2014-11-21,it,Search Engine Ads,308
2014-11-21,it,Search Engine Results,500
2014-11-21,us,Display Ads,10861
2014-11-21,us,KAYAK Deals Email,731
2014-11-21,us,Search Engine Ads,2267
2014-11-21,us,Search Engine Results,8127
2014-11-22,de,Display Ads,891
2014-11-22,de,Search Engine Ads,984
2014-11-22,de,Search Engine Results,758
2014-11-22,es,Display Ads,239
2014-11-22,es,KAYAK Deals Email,6
2014-11-22,es,Search Engine Ads,803
2014-11-22,es,Search Engine Results,893
2014-11-22,fr,Display Ads,192
2014-11-22,fr,KAYAK Deals Email,23
2014-11-22,fr,Search Engine Ads,473
2014-11-22,fr,Search Engine Results,587
2014-11-22,gb,Display Ads,165
2014-11-22,gb,KAYAK Deals Email,6
2014-11-22,gb,Search Engine Ads,107
2014-11-22,gb,Search Engine Results,345
2014-11-22,gb,Travel Search Site,250
2014-11-22,it,Display Ads,129
2014-11-22,it,KAYAK Deals Email,6
2014-11-22,it,Search Engine Ads,293
2014-11-22,it,Search Engine Results,511
2014-11-22,us,Display Ads,8240
2014-11-22,us,KAYAK Deals Email,513
2014-11-22,us,Search Engine Ads,2171
2014-11-22,us,Search Engine Results,7123
2014-11-22,us,Travel Search Site,5
2014-11-23,de,Display Ads,1345
2014-11-23,de,KAYAK Deals Email,30
2014-11-23,de,Search Engine Ads,1587
2014-11-23,de,Search Engine Results,1280
2014-11-23,es,Display Ads,386
2014-11-23,es,Search Engine Ads,1256
2014-11-23,es,Search Engine Results,1448
2014-11-23,fr,Display Ads,274
2014-11-23,fr,KAYAK Deals Email,13
2014-11-23,fr,Search Engine Ads,611
2014-11-23,fr,Search Engine Results,943
2014-11-23,gb,Display Ads,244
2014-11-23,gb,KAYAK Deals Email,10
2014-11-23,gb,Search Engine Ads,93
2014-11-23,gb,Search Engine Results,506
2014-11-23,gb,Travel Search Site,288
2014-11-23,it,Display Ads,198
2014-11-23,it,KAYAK Deals Email,10
2014-11-23,it,Search Engine Ads,387
2014-11-23,it,Search Engine Results,553
2014-11-23,us,Display Ads,9523
2014-11-23,us,KAYAK Deals Email,503
2014-11-23,us,Search Engine Ads,2236
2014-11-23,us,Search Engine Results,7452
2014-11-23,us,Travel Search Site,2
2014-11-24,de,Display Ads,1343
2014-11-24,de,Search Engine Ads,1342
2014-11-24,de,Search Engine Results,1260
2014-11-24,es,Display Ads,464
2014-11-24,es,KAYAK Deals Email,10
2014-11-24,es,Search Engine Ads,1573
2014-11-24,es,Search Engine Results,1649
2014-11-24,fr,Display Ads,307
2014-11-24,fr,KAYAK Deals Email,17
2014-11-24,fr,Search Engine Ads,572
2014-11-24,fr,Search Engine Results,883
2014-11-24,gb,Display Ads,292
2014-11-24,gb,KAYAK Deals Email,6
2014-11-24,gb,Search Engine Ads,109
2014-11-24,gb,Search Engine Results,513
2014-11-24,gb,Travel Search Site,178
2014-11-24,it,Display Ads,199
2014-11-24,it,Search Engine Ads,470
2014-11-24,it,Search Engine Results,555
2014-11-24,us,Display Ads,12242
2014-11-24,us,KAYAK Deals Email,520
2014-11-24,us,Search Engine Ads,2027
2014-11-24,us,Search Engine Results,9300
2014-11-25,de,Display Ads,1331
2014-11-25,de,KAYAK Deals Email,61
2014-11-25,de,Search Engine Ads,1343
2014-11-25,de,Search Engine Results,1355
2014-11-25,es,Display Ads,412
2014-11-25,es,Search Engine Ads,1562
2014-11-25,es,Search Engine Results,1726
2014-11-25,fr,Display Ads,259
2014-11-25,fr,KAYAK Deals Email,10
2014-11-25,fr,Search Engine Ads,541
2014-11-25,fr,Search Engine Results,755
2014-11-25,gb,Display Ads,312
2014-11-25,gb,KAYAK Deals Email,10
2014-11-25,gb,Search Engine Ads,109
2014-11-25,gb,Search Engine Results,469
2014-11-25,gb,Travel Search Site,189
2014-11-25,it,Display Ads,198
2014-11-25,it,KAYAK Deals Email,3
2014-11-25,it,Search Engine Ads,494
2014-11-25,it,Search Engine Results,503
2014-11-25,us,Display Ads,11855
2014-11-25,us,KAYAK Deals Email,564
2014-11-25,us,Search Engine Ads,1827
2014-11-25,us,Search Engine Results,8100
2014-11-26,de,Display Ads,1324
2014-11-26,de,Search Engine Ads,1285
2014-11-26,de,Search Engine Results,1088
2014-11-26,es,Display Ads,394
2014-11-26,es,KAYAK Deals Email,10
2014-11-26,es,Search Engine Ads,1525
2014-11-26,es,Search Engine Results,1418
2014-11-26,fr,Display Ads,235
2014-11-26,fr,Search Engine Ads,571
2014-11-26,fr,Search Engine Results,685
2014-11-26,gb,Display Ads,314
2014-11-26,gb,KAYAK Deals Email,10
2014-11-26,gb,Search Engine Ads,249
2014-11-26,gb,Search Engine Results,519
2014-11-26,gb,Travel Search Site,236
2014-11-26,it,Display Ads,176
2014-11-26,it,Search Engine Ads,399
2014-11-26,it,Search Engine Results,607
2014-11-26,us,Display Ads,9873
2014-11-26,us,KAYAK Deals Email,482
2014-11-26,us,Search Engine Ads,2024
2014-11-26,us,Search Engine Results,7320
2014-11-26,us,Travel Search Site,5
2014-11-27,de,Display Ads,1088
2014-11-27,de,KAYAK Deals Email,6
2014-11-27,de,Search Engine Ads,1013
2014-11-27,de,Search Engine Results,1011
2014-11-27,es,Display Ads,410
2014-11-27,es,KAYAK Deals Email,10
2014-11-27,es,Search Engine Ads,1490
2014-11-27,es,Search Engine Results,1343
2014-11-27,fr,Display Ads,220
2014-11-27,fr,KAYAK Deals Email,10
2014-11-27,fr,Search Engine Ads,458
2014-11-27,fr,Search Engine Results,618
2014-11-27,gb,Display Ads,307
2014-11-27,gb,KAYAK Deals Email,10
2014-11-27,gb,Search Engine Ads,329
2014-11-27,gb,Search Engine Results,407
2014-11-27,gb,Travel Search Site,162
2014-11-27,it,Display Ads,194
2014-11-27,it,KAYAK Deals Email,3
2014-11-27,it,Search Engine Ads,472
2014-11-27,it,Search Engine Results,531
2014-11-27,us,Display Ads,6775
2014-11-27,us,KAYAK Deals Email,275
2014-11-27,us,Search Engine Ads,1514
2014-11-27,us,Search Engine Results,4740
2014-11-28,de,Display Ads,986
2014-11-28,de,KAYAK Deals Email,54
2014-11-28,de,Search Engine Ads,1009
2014-11-28,de,Search Engine Results,790
2014-11-28,es,Display Ads,302
2014-11-28,es,KAYAK Deals Email,17
2014-11-28,es,Search Engine Ads,1163
2014-11-28,es,Search Engine Results,1135
2014-11-28,fr,Display Ads,204
2014-11-28,fr,KAYAK Deals Email,3
2014-11-28,fr,Search Engine Ads,554
2014-11-28,fr,Search Engine Results,601
2014-11-28,gb,Display Ads,238
2014-11-28,gb,KAYAK Deals Email,17
2014-11-28,gb,Search Engine Ads,224
2014-11-28,gb,Search Engine Results,445
2014-11-28,gb,Travel Search Site,189
2014-11-28,it,Display Ads,170
2014-11-28,it,KAYAK Deals Email,3
2014-11-28,it,Search Engine Ads,362
